City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Opuwo,-18.0607,13.84,71.58,35,89,4.23,NA,1666664760
Hermanus,-34.4187,19.2345,61.81,70,100,10.09,ZA,1666665033
Rikitea,-23.1203,-134.9692,73.35,81,2,15.32,PF,1666665024
Tabou,4.423,-7.3528,76.35,92,38,7.29,CI,1666664613
Thompson,55.7435,-97.8558,30.36,93,100,18.41,CA,1666664633
Puerto Ayora,-0.7393,-90.3518,67.55,89,100,4.0,EC,1666664631
Chumikan,54.7183,135.315,39.9,53,100,27.72,RU,1666664633
Mataura,-46.1927,168.8643,57.47,29,0,0.94,NZ,1666665019
Constitución,-35.3333,-72.4167,51.67,91,100,7.4,CL,1666665199
Lüderitz,-26.6481,15.1594,60.58,76,100,15.12,NA,1666665136
Nome,64.5011,-165.4064,33.87,70,100,6.91,US,1666665161
Port Alfred,-33.5906,26.891,65.17,97,46,5.01,ZA,1666665105
Acajutla,13.5928,-89.8275,79.48,82,27,4.36,SV,1666665200
Ust-Nera,64.5667,143.2,9.36,95,100,6.17,RU,1666665201
Nouakchott,18.0858,-15.9785,76.93,83,100,8.7,MR,1666665146
Port Blair,11.6667,92.75,86.04,79,40,0.0,IN,1666665031
Kutum,14.2,24.6667,66.76,32,4,10.42,SD,1666665202
Boddam,57.4667,-1.7833,48.58,81,78,9.48,GB,1666665202
Hasaki,35.7333,140.8333,57.22,55,100,28.57,JP,1666665202
Saskylakh,71.9167,114.0833,12.2,94,100,9.33,RU,1666665203
Karratha,-20.7377,116.8463,85.86,21,0,1.21,AU,1666665204
East London,-33.0153,27.9116,66.63,87,44,5.48,ZA,1666665204
Kahului,20.8947,-156.47,87.82,61,40,25.32,US,1666665205
Yellowknife,62.456,-114.3525,28.92,74,100,9.22,CA,1666664606
Vila Velha,-20.3297,-40.2925,73.35,91,40,4.61,BR,1666664660
Fukuechō,32.6881,128.8419,64.76,52,75,13.8,JP,1666665205
Ciudad Bolivar,8.1222,-63.5497,81.45,74,99,2.51,VE,1666665206
Atuona,-9.8,-139.0333,76.66,75,2,16.84,PF,1666665206
Ushuaia,-54.8,-68.3,37.06,87,40,24.16,AR,1666665096
Hilo,19.7297,-155.09,80.33,83,75,6.91,US,1666665206
Hong Kong,22.2855,114.1577,78.85,58,98,11.99,HK,1666665005
Chivay,-15.6383,-71.6011,44.22,23,45,2.55,PE,1666665207
Barrow,71.2906,-156.7887,19.42,93,100,24.16,US,1666664981
Kampene,-3.6,26.6667,67.8,97,99,0.94,CD,1666665208
Souillac,-20.5167,57.5167,68.38,83,75,3.44,MU,1666665150
Vaini,-21.2,-175.2,77.16,57,20,12.66,TO,1666665208
Nanortalik,60.1432,-45.2371,32.94,79,99,5.41,GL,1666665209
Qaanaaq,77.484,-69.3632,16.05,71,99,8.19,GL,1666665095
Ilulissat,69.2167,-51.1,26.67,97,100,4.47,GL,1666665209
Nicoya,10.1483,-85.452,74.7,93,99,2.44,CR,1666664745
Port Augusta,-32.5,137.7667,70.83,47,15,7.61,AU,1666664756
Tres Arroyos,-38.3739,-60.2798,69.75,48,99,14.25,AR,1666665210
Guarapari,-20.6667,-40.4975,69.48,95,78,3.94,BR,1666665100
Cidreira,-30.1811,-50.2056,63.57,74,39,10.18,BR,1666664626
Salalah,17.0151,54.0924,75.29,73,0,4.61,OM,1666665210
Moranbah,-22.0016,148.0466,95.67,26,9,15.5,AU,1666665211
Millinocket,45.6573,-68.7098,53.71,100,100,3.44,US,1666664675
Buala,-8.145,159.5921,83.12,75,54,3.94,SB,1666664830
Jamestown,42.097,-79.2353,62.24,84,0,3.44,US,1666664556
Busselton,-33.65,115.3333,65.37,50,55,10.83,AU,1666665212
Lebu,-37.6167,-73.65,50.68,93,100,2.17,CL,1666665212
Shenjiamen,29.9576,122.298,64.56,57,100,15.37,CN,1666665212
Hithadhoo,-0.6,73.0833,81.97,74,13,6.4,MV,1666665213
Codrington,-38.2667,141.9667,61.93,95,100,7.25,AU,1666664614
Kumul,42.8,93.45,53.33,35,1,4.97,CN,1666665213
Tawang Town,27.5833,91.8667,47.52,98,100,3.91,IN,1666665214
São Borja,-28.6606,-56.0044,60.94,67,0,8.23,BR,1666665214
Dikson,73.5069,80.5464,27.14,75,100,19.8,RU,1666664636
Bengkulu,-3.8004,102.2655,76.46,87,100,4.07,ID,1666664631
Ust-Kuyga,70.0167,135.6,17.71,92,100,7.4,RU,1666665215
Bucerías,20.75,-105.3333,80.58,83,20,2.3,MX,1666664916
Westport,41.1415,-73.3579,63.07,92,100,11.5,US,1666664628
Aklavik,68.2191,-135.0107,2.89,99,55,1.72,CA,1666664619
Hobart,-42.8794,147.3294,60.66,96,100,6.91,AU,1666665139
Vanavara,60.34,102.2797,30.07,87,100,14.7,RU,1666665135
Saldanha,-33.0117,17.9442,55.45,82,100,14.18,ZA,1666664705
Cape Town,-33.9258,18.4232,63.09,68,75,12.66,ZA,1666665049
Mānsa,29.9833,75.3833,73.22,30,0,2.89,IN,1666665216
Copiapó,-27.3667,-70.3333,51.49,68,0,2.64,CL,1666665217
Zorritos,-3.6805,-80.6782,68.29,78,93,3.71,PE,1666665217
Castro,-24.7911,-50.0119,59.09,91,56,9.55,BR,1666665217
Cabo San Lucas,22.8909,-109.9124,78.51,65,20,5.75,MX,1666665066
Kapaa,22.0752,-159.319,84.18,77,0,13.8,US,1666665174
Tazovsky,67.4667,78.7,21.24,95,90,1.01,RU,1666665094
Severo-Kuril'sk,50.6789,156.125,39.2,66,51,20.8,RU,1666665139
San Clemente,33.427,-117.612,68.47,44,0,7.0,US,1666665142
San Cristobal,7.7669,-72.225,73.58,95,100,1.23,VE,1666664630
Norman Wells,65.282,-126.8329,21.24,93,100,2.3,CA,1666664656
Berlevåg,70.8578,29.0864,35.6,80,75,18.41,NO,1666664697
Verkhoyansk,67.5447,133.385,25.11,65,100,23.91,RU,1666665219
Tuatapere,-46.1333,167.6833,60.15,42,0,6.17,NZ,1666665219
Ojinaga,29.5667,-104.4167,63.55,25,0,6.91,MX,1666664631
Rāzampeta,14.1833,79.1667,78.15,53,43,2.48,IN,1666665220
Butaritari,3.0707,172.7902,81.59,74,12,11.39,KI,1666665220
Punta Arenas,-53.15,-70.9167,35.71,87,20,9.22,CL,1666664994
Nikolskoye,59.7035,30.7861,26.49,86,99,3.65,RU,1666665221
Faanui,-16.4833,-151.75,78.91,78,100,16.11,PF,1666664640
Sabha,27.0377,14.4283,62.83,53,0,9.22,LY,1666665221
Arraial do Cabo,-22.9661,-42.0278,71.62,86,100,6.8,BR,1666664658
Sarai,53.7458,41.0213,32.99,85,94,5.53,RU,1666665222
São Félix do Xingu,-6.6447,-51.995,73.22,95,70,0.29,BR,1666664792
Albany,42.6001,-73.9662,57.63,94,100,0.98,US,1666665001
Cherskiy,68.75,161.3,4.08,86,45,9.95,RU,1666665129
Fairbanks,64.8378,-147.7164,26.22,89,75,3.44,US,1666665222
Port Hedland,-20.3167,118.5667,89.65,18,0,11.5,AU,1666664719
Bethel,41.3712,-73.414,61.02,89,100,5.75,US,1666665223
Avarua,-21.2078,-159.775,75.25,73,75,10.36,CK,1666665223
Achacachi,-16.05,-68.6833,43.95,78,48,6.73,BO,1666665224
Esperance,-33.8667,121.9,60.33,82,100,8.57,AU,1666665224
La Ronge,55.1001,-105.2842,34.05,64,100,13.8,CA,1666664710
Havøysund,70.9963,24.6622,37.63,81,61,14.14,NO,1666664662
Khatanga,71.9667,102.5,-2.99,97,93,3.27,RU,1666665225
Praia da Vitória,38.7333,-27.0667,64.76,82,0,13.76,PT,1666664728
Wahiawā,21.5028,-158.0236,80.92,68,100,12.66,US,1666664676
Tutóia,-2.7619,-42.2744,79.39,81,6,12.82,BR,1666665225
New Norfolk,-42.7826,147.0587,60.3,87,100,1.01,AU,1666665226
Broome,42.2506,-75.833,60.19,91,100,8.05,US,1666664650
Manhush,47.0558,37.3107,48.74,77,91,2.33,UA,1666665226
Muros,42.7762,-9.0603,62.69,95,100,15.46,ES,1666664775
Aasiaat,68.7098,-52.8699,30.92,88,100,17.98,GL,1666665227
Airai,-8.9266,125.4092,77.59,45,100,1.63,TL,1666665227
Coronel Fabriciano,-19.5186,-42.6289,68.04,73,75,19.57,BR,1666665228
Lar,26.2039,83.9717,70.52,66,0,6.02,IN,1666664716
Pisco,-13.7,-76.2167,60.03,88,0,12.66,PE,1666665228
George Town,5.4112,100.3354,84.15,83,20,3.44,MY,1666665229
Bredasdorp,-34.5322,20.0403,60.73,76,100,8.19,ZA,1666665229
Samarai,-10.6167,150.6667,83.52,66,9,9.42,PG,1666664677
Geraldton,-28.7667,114.6,70.21,56,75,17.27,AU,1666665082
Ambovombe,-25.1667,46.0833,69.84,87,42,3.98,MG,1666665230
Grindavik,63.8424,-22.4338,43.27,81,0,8.05,IS,1666664670
Andapa,-14.65,49.65,63.14,89,36,1.34,MG,1666665230
Deputatsky,69.3,139.9,5.65,94,100,3.0,RU,1666665231
Port Elizabeth,-33.918,25.5701,68.09,96,40,12.66,ZA,1666664651
Ketchikan,55.3422,-131.6461,45.07,81,75,3.44,US,1666664759
Kaitangata,-46.2817,169.8464,53.71,59,0,8.59,NZ,1666665231
Sørland,67.667,12.6934,41.49,59,76,16.71,NO,1666665232
Sainte-Thècle,46.8168,-72.4991,60.85,94,1,1.95,CA,1666665232
Puksoozero,62.5903,40.6066,26.96,97,50,4.14,RU,1666665233
Bambanglipuro,-7.95,110.2833,82.17,74,89,7.76,ID,1666665233
Bluff,-46.6,168.3333,57.79,62,0,13.78,NZ,1666665031
Villamontes,-21.25,-63.5,78.98,38,50,1.14,BO,1666665234
Forsytheganj,52.6333,29.7333,49.5,97,100,7.29,BY,1666665234
Lalibela,12.0333,39.0333,54.64,70,23,5.14,ET,1666665234
Eureka,40.8021,-124.1637,59.2,85,100,5.99,US,1666665235
Jurbarkas,55.0778,22.7664,51.75,98,100,6.8,LT,1666665235
Sept-Îles,50.2001,-66.3821,44.6,95,75,3.44,CA,1666665063
Homer,59.6425,-151.5483,40.89,60,0,5.75,US,1666664706
Gwadar,25.1216,62.3254,79.41,69,0,8.93,PK,1666665236
Zelenoborskiy,66.845,32.3622,32.14,84,65,3.74,RU,1666665236
Palmer,42.1584,-72.3287,58.55,86,100,3.44,US,1666664778
Upernavik,72.7868,-56.1549,28.56,96,100,7.87,GL,1666665237
Falun,60.6036,15.626,45.21,97,100,7.47,SE,1666665237
Chabahar,25.2919,60.643,80.83,67,0,6.85,IR,1666665238
Rundu,-17.9333,19.7667,72.93,43,16,1.25,NA,1666664765
Isla Vista,34.4133,-119.861,63.99,56,0,5.75,US,1666665159
Longyearbyen,78.2186,15.6401,19.24,68,20,2.3,SJ,1666665105
Vestmannaeyjar,63.4427,-20.2734,43.05,87,100,11.61,IS,1666665238
Torbay,47.6666,-52.7314,47.5,93,75,11.99,CA,1666665239
Cap Malheureux,-19.9842,57.6142,73.47,68,2,4.0,MU,1666665239
Weifang,36.71,119.1019,68.4,35,5,11.68,CN,1666665239
Binzhou,37.3667,118.0167,71.08,27,42,7.85,CN,1666665240
Lumphat,13.4878,106.9816,82.42,85,75,0.36,KH,1666665240
Kamaishi,39.2667,141.8833,53.19,73,98,15.84,JP,1666665240
Arenzano,44.4052,8.6832,71.65,97,40,8.05,IT,1666665241
Louviers,49.2167,1.1667,57.2,92,75,11.5,FR,1666665241
Beaumont,30.0861,-94.1019,76.98,88,40,11.5,US,1666665242
Nardaran,40.5561,50.0056,60.44,72,20,13.8,AZ,1666665242
Vila Franca do Campo,37.7167,-25.4333,64.81,76,83,12.03,PT,1666665243
Jacareacanga,-6.2222,-57.7528,73.62,99,100,1.48,BR,1666664768
Mozhga,56.4447,52.2276,29.79,93,70,4.79,RU,1666665243
Anadyr,64.75,177.4833,16.3,78,0,6.71,RU,1666664669
Togur,58.3631,82.8265,28.31,78,90,13.85,RU,1666664849
Lata,40.1629,-8.3327,62.08,81,100,5.77,PT,1666665244
Saint-Philippe,-21.3585,55.7679,69.39,81,32,7.56,RE,1666665244
Saint Paul Harbor,57.79,-152.4072,45.91,53,0,18.41,US,1666665117
Guerrero Negro,27.9769,-114.0611,71.01,35,0,12.26,MX,1666665245
Itarema,-2.9248,-39.9167,78.69,80,8,15.14,BR,1666664671
Ribeira Grande,38.5167,-28.7,66.78,72,84,11.01,PT,1666665246
Naranjal,-2.6667,-79.6167,73.09,89,100,2.91,EC,1666665246
Clyde River,70.4692,-68.5914,7.03,72,0,12.66,CA,1666665247
Praia,14.9215,-23.5087,75.74,83,20,6.91,CV,1666665239
Carnarvon,-24.8667,113.6333,69.87,47,0,21.03,AU,1666665247
Toguchin,55.2353,84.3858,32.07,65,66,12.73,RU,1666665248
Yar-Sale,66.8333,70.8333,20.61,96,67,7.65,RU,1666665198
Manicoré,-5.8092,-61.3003,76.89,84,98,1.88,BR,1666664753
Lompoc,34.6391,-120.4579,61.79,86,0,4.61,US,1666665206
Tasiilaq,65.6145,-37.6368,30.65,96,100,13.24,GL,1666665249
Mahébourg,-20.4081,57.7,73.26,83,75,3.44,MU,1666665249
Pangnirtung,66.1451,-65.7125,11.77,78,5,11.97,CA,1666665250
Vitorino Freire,-4.0667,-45.1667,74.5,92,20,5.28,BR,1666665250
Ancud,-41.8697,-73.8203,49.93,94,88,5.14,CL,1666665131
Mount Isa,-20.7333,139.5,96.57,21,3,10.36,AU,1666665251
Bilibino,68.0546,166.4372,-5.78,96,56,3.0,RU,1666664668
Ossett,53.6798,-1.5801,53.78,88,62,11.12,GB,1666665252
Kilindoni,-7.9139,39.6668,76.35,80,10,8.97,TZ,1666664797
Bol,13.4586,14.7147,83.52,41,91,17.22,TD,1666665252
Margate,51.3813,1.3862,55.31,91,21,1.99,GB,1666664778
Marystown,47.1666,-55.1483,53.56,66,100,2.48,CA,1666664711
San Isidro,-12.1167,-77.05,62.02,81,75,13.8,PE,1666665253
Ouésso,1.6136,16.0517,70.41,100,100,1.21,CG,1666665254
Comodoro Rivadavia,-45.8667,-67.5,60.66,33,0,18.41,AR,1666664716
Ponta Delgada,37.7333,-25.6667,65.12,68,75,12.66,PT,1666665254
Biltine,14.5333,20.9167,76.87,27,7,8.75,TD,1666665255
Tuktoyaktuk,69.4541,-133.0374,14.0,85,75,0.0,CA,1666665255
Ostrovnoy,68.0531,39.5131,32.74,88,100,15.3,RU,1666665256
São Bento do Sul,-26.2503,-49.3786,57.24,98,100,3.96,BR,1666665256
Mainit,9.535,125.5231,77.95,91,100,2.75,PH,1666665257
Fort Nelson,58.8053,-122.7002,26.19,86,100,6.91,CA,1666664729
Fortuna,40.5982,-124.1573,58.93,88,100,0.0,US,1666665257
Cranbrook,49.4999,-115.7688,39.04,65,75,8.05,CA,1666665006
Port Hardy,50.6996,-127.4199,46.58,81,75,6.91,CA,1666665258
Asău,46.4333,26.4,45.52,81,100,5.77,RO,1666665226
Dudinka,69.4058,86.1778,24.62,96,98,6.78,RU,1666664664
San Quintín,30.4833,-115.95,65.41,62,0,8.43,MX,1666665259
Nuuk,64.1835,-51.7216,31.87,80,95,1.99,GL,1666664663
Narsaq,60.9167,-46.05,22.51,82,77,6.24,GL,1666665132
Letnyaya Stavka,45.4306,43.4472,51.06,77,100,12.59,RU,1666665260
Houma,29.5958,-90.7195,77.0,91,100,10.36,US,1666664979
Kyzyl-Suu,42.3414,78.0056,43.25,69,100,3.69,KG,1666664770
Filingué,14.3521,3.3168,86.5,24,33,7.78,NE,1666664745
Emerald,-23.5333,148.1667,87.35,58,0,9.78,AU,1666664517
San Luis de la Paz,21.3,-100.5167,67.62,48,42,6.6,MX,1666665261
Bayir,37.2687,28.2167,43.32,46,0,3.15,TR,1666664668
Gondanglegi,-7.7479,112.0132,87.39,62,100,11.86,ID,1666665262
Truckee,39.328,-120.1833,55.72,57,0,8.05,US,1666665262
Manuk Mangkaw,4.8,119.85,82.74,76,99,10.02,PH,1666665262
Aykhal,66.0,111.5,15.15,93,61,20.56,RU,1666665263
Isangel,-19.55,169.2667,78.73,70,24,10.4,VU,1666665135
Tondano,1.3038,124.9112,82.49,64,97,1.61,ID,1666665263
Kalmunai,7.4167,81.8167,82.4,73,43,3.91,LK,1666665264
Roquetas de Mar,36.7642,-2.6148,64.4,40,99,5.59,ES,1666665264
Departamento de Maldonado,-34.6667,-54.9167,59.23,94,2,7.54,UY,1666664766
Ordubad,38.9059,46.0234,51.98,61,0,2.98,AZ,1666665265
Lewiston,44.1003,-70.2148,58.39,97,100,3.44,US,1666665070
São Filipe,14.8961,-24.4956,76.86,78,7,4.5,CV,1666665265
Kindu,-2.95,25.95,68.9,98,100,1.41,CD,1666664686
Ushibukamachi,32.1906,130.0228,63.57,49,6,19.3,JP,1666665266
Mar del Plata,-38.0023,-57.5575,61.09,91,100,8.01,AR,1666664406
Ankpa,7.3706,7.6253,71.13,95,92,3.8,NG,1666665266
Maţāy,28.419,30.7792,64.6,71,0,9.91,EG,1666665267
Snåase,64.2457,12.3778,42.21,95,74,7.05,NO,1666665267
Puerto Colombia,10.9878,-74.9547,77.09,83,100,6.24,CO,1666664718
Montepuez,-13.1256,38.9997,64.98,93,32,5.21,MZ,1666665268
Netrakona,24.8833,90.7167,69.69,94,100,8.37,BD,1666665268
Zabaykal'sk,49.6333,117.3167,43.12,62,100,20.22,RU,1666665192
Münster,51.9624,7.6257,58.21,88,100,8.05,DE,1666665268
Hobyo,5.3505,48.5268,79.32,79,59,11.1,SO,1666664685
Barkly West,-28.5354,24.5215,63.68,54,80,8.66,ZA,1666665269
Mitsamiouli,-11.3847,43.2844,76.03,80,4,13.4,KM,1666665269
Yangi Marg`ilon,40.4272,71.7189,50.72,93,100,2.3,UZ,1666664693
São João da Barra,-21.6403,-41.0511,72.14,86,64,3.47,BR,1666665270
Mtwara,-10.2667,40.1833,75.47,79,94,8.1,TZ,1666665270
Burgeo,47.6167,-57.6152,53.85,65,100,3.91,CA,1666665271
Katobu,-4.9408,122.5276,90.61,53,74,5.06,ID,1666665271
Lakes Entrance,-37.8811,147.981,67.15,90,100,9.95,AU,1666665272
Cayenne,4.9333,-52.3333,82.44,83,0,3.44,GF,1666665006
Concepción del Oro,24.6333,-101.4167,64.4,43,16,7.99,MX,1666665272
Abhā,18.2164,42.5053,58.82,58,0,0.0,SA,1666664742
Ortona,42.3496,14.4039,58.26,45,19,3.85,IT,1666665273
Zhigansk,66.7697,123.3711,21.45,85,100,21.41,RU,1666665273
Gravdal,68.1214,13.5031,38.95,59,38,11.36,NO,1666665273
Mareeba,-17.0,145.4333,83.12,51,56,2.89,AU,1666665274
Alofi,-19.0595,-169.9187,76.89,61,75,12.66,NU,1666664679
San Joaquin,37.9333,-121.3011,67.98,30,0,4.61,US,1666665275
Iqaluit,63.7506,-68.5145,20.93,68,100,12.66,CA,1666665115
Mendeleyevo,56.0333,37.2167,28.18,93,0,2.24,RU,1666665275
Vardø,70.3705,31.1107,31.98,80,75,8.05,NO,1666664689
Chokurdakh,70.6333,147.9167,3.85,87,100,4.83,RU,1666665276
Ghiroda,45.7639,21.3003,53.78,100,0,6.91,RO,1666665276
Goderich,43.7501,-81.7165,62.92,48,100,10.36,CA,1666665276
Yumen,40.2833,97.2,44.98,46,15,11.48,CN,1666664770
Coyhaique,-45.5752,-72.0662,49.95,71,75,4.61,CL,1666665277
Pringsewu,-5.3582,104.9744,77.92,87,100,3.67,ID,1666665277
Ishigaki,24.3448,124.1572,75.33,57,75,21.85,JP,1666665278
Loa Janan,-0.583,117.095,83.61,79,94,2.42,ID,1666665278
Benguela,-12.5763,13.4055,74.84,85,72,3.78,AO,1666665279
Kukuna,9.4,-12.6667,73.98,92,100,3.96,SL,1666665279
Qarchī Gak,37.04,66.7889,60.21,58,3,14.67,AF,1666665280
Salinópolis,-0.6136,-47.3561,79.99,75,75,11.9,BR,1666664693
Belaya Gora,68.5333,146.4167,9.16,77,100,2.1,RU,1666665280
Bambous Virieux,-20.3428,57.7575,73.22,83,75,3.44,MU,1666665182
Huaicheng,23.9051,112.1931,85.75,39,100,2.19,CN,1666665281
Lorengau,-2.0226,147.2712,87.03,61,100,6.55,PG,1666665281
Ponta do Sol,32.6667,-17.1,73.0,91,100,3.58,PT,1666665281
Secunda,-26.55,29.1667,51.31,99,1,4.05,ZA,1666665282
Altamont,42.2068,-121.7372,47.77,88,100,10.36,US,1666665282
Hay River,60.8156,-115.7999,30.18,93,75,8.05,CA,1666664535
La Reforma,25.0833,-108.05,76.68,69,18,8.03,MX,1666665283
Alibag,18.6411,72.8792,77.07,62,0,3.67,IN,1666665283
