City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Nísia Floresta,-6.0911,-35.2086,79.61,83,8,9.4,BR,1666665284
Lethem,3.3803,-59.7968,80.6,72,100,4.29,GY,1666665284
Santa Isabel Rio Negro,-0.4139,-65.0192,74.84,97,95,1.63,BR,1666664721
Leningradskiy,69.3833,178.4167,7.12,92,42,4.5,RU,1666665207
Quelimane,-17.8786,36.8883,76.95,88,0,10.36,MZ,1666664687
Caravelas,-17.7125,-39.2481,72.19,94,100,6.85,BR,1666665285
Nyköping,58.753,17.0079,53.46,100,100,4.61,SE,1666665285
Clarence Town,-32.5833,151.7833,79.56,57,51,9.04,AU,1666665286
Carutapera,-1.195,-46.02,78.87,75,61,8.01,BR,1666665286
Farafangana,-22.8167,47.8333,70.34,88,21,7.45,MG,1666665287
Port Lincoln,-34.7333,135.8667,64.02,71,83,11.14,AU,1666664692
Lensk,60.7253,114.9278,31.17,75,100,14.67,RU,1666665287
Harwich,51.9419,1.2844,54.25,89,14,4.0,GB,1666665288
Naze,28.3667,129.4833,68.92,56,92,18.92,JP,1666665157
Warmbad,-28.45,18.7333,65.93,46,100,8.63,NA,1666665288
Sovetskiy,61.3614,63.5842,32.77,88,100,10.94,RU,1666665289
Melilla,35.2937,-2.9383,66.58,68,0,2.3,ES,1666665289
Tiksi,71.6872,128.8694,18.46,94,100,1.25,RU,1666665290
Kiryat Gat,31.61,34.7642,73.4,77,16,2.77,IL,1666664708
Sabang,5.8933,95.3214,82.4,75,85,10.51,ID,1666665290
Dolisie,-4.1997,12.6739,71.17,97,100,2.46,CG,1666665291
San Jose,37.3394,-121.895,66.34,46,20,10.36,US,1666665255
Khāsh,28.2211,61.2158,64.15,20,0,1.32,IR,1666665291
Huarmey,-10.0681,-78.1522,61.97,87,71,8.79,PE,1666665292
Grimshaw,56.1834,-117.6027,33.42,93,75,8.05,CA,1666664746
Chita,52.0333,113.55,33.69,43,100,4.47,RU,1666665207
La Santisima Trinidad,-14.8333,-64.9,76.86,78,5,3.06,BO,1666665292
Avera,33.194,-82.5271,55.38,58,46,5.5,US,1666665293
Matara,5.9485,80.5353,81.34,75,81,6.87,LK,1666665241
Portage,41.1667,-81.1998,63.03,65,0,3.44,US,1666665293
Kemin,42.7846,75.6892,43.47,88,99,0.78,KG,1666665294
Itoman,26.1247,127.6694,77.02,52,20,17.27,JP,1666664696
Krasnosel'kup,65.7,82.4667,30.49,96,100,8.68,RU,1666665208
Havre-St-Pierre,50.2334,-63.5986,44.6,93,0,3.44,CA,1666665294
Dali,25.7,100.1833,58.28,92,99,2.44,CN,1666665295
Meulaboh,4.1363,96.1285,83.32,73,81,6.64,ID,1666665295
Laas,46.6166,10.7002,50.36,98,100,2.39,IT,1666665296
Ust-Tsilma,65.441,52.1498,25.09,94,35,6.85,RU,1666664755
Manoel Urbano,-8.8389,-69.2597,74.84,83,23,1.88,BR,1666665296
Birao,10.2849,22.7882,68.79,36,46,4.43,CF,1666665297
Sechura,-5.5569,-80.8222,63.37,81,73,12.28,PE,1666664723
Devarkonda,16.7,78.9333,74.62,58,2,4.36,IN,1666665297
Scottsbluff,41.8666,-103.6672,45.79,47,0,12.66,US,1666665298
Yinchuan,38.4681,106.2731,60.8,47,71,1.19,CN,1666665038
Tanete,-3.9443,119.7848,90.73,57,70,3.58,ID,1666665298
Arrondissement de Tarbes,43.25,0.1667,54.48,86,0,3.44,FR,1666665299
Mayo,38.8876,-76.5119,61.18,94,100,0.0,US,1666665299
El Salvador,13.8333,-88.9167,73.06,97,16,0.98,SV,1666665162
Sittwe,20.15,92.9,82.63,76,74,9.78,MM,1666665300
Harrisonville,38.6533,-94.3488,51.58,94,100,4.61,US,1666664464
Altay,47.8667,88.1167,36.05,27,0,1.43,CN,1666665300
Elizabeth City,36.2946,-76.2511,58.01,97,100,0.0,US,1666665119
Necochea,-38.5473,-58.7368,61.7,63,78,18.23,AR,1666665301
Kapit,2.0167,112.9333,75.4,98,100,0.07,MY,1666665139
Buraidah,26.326,43.975,64.85,20,0,8.05,SA,1666665145
Pevek,69.7008,170.3133,3.07,96,40,7.78,RU,1666665024
Belz,47.6751,-3.168,59.14,92,20,3.0,FR,1666665302
Yabrūd,33.9674,36.6574,52.75,72,0,1.57,SY,1666664741
Brae,60.3964,-1.353,52.2,97,98,8.12,GB,1666665302
Touho,-20.7833,165.2333,76.59,71,61,14.12,NC,1666665303
Pinos Puente,37.2511,-3.7497,73.29,34,0,0.0,ES,1666665303
Baykit,61.67,96.37,30.72,79,100,12.1,RU,1666665304
Moerai,-22.4333,-151.3333,75.52,83,100,22.48,PF,1666665304
Vuktyl,63.8567,57.3094,27.57,94,98,7.56,RU,1666665200
Teya,60.3778,92.6267,30.18,81,100,12.97,RU,1666665305
Russell,32.3502,-85.1999,67.23,94,0,0.0,US,1666665305
Morales,2.757,-76.6172,61.14,98,100,1.21,CO,1666665306
Poum,-20.2333,164.0167,78.24,76,100,21.94,NC,1666665307
Tiznit Province,29.5833,-9.5,78.37,16,99,15.79,MA,1666665307
Alta Floresta,-9.8756,-56.0861,70.47,99,100,2.08,BR,1666665308
San Policarpo,12.1791,125.5072,82.62,85,100,9.44,PH,1666665308
Pangody,65.85,74.4859,24.08,97,100,4.25,RU,1666664720
Masallātah,32.6167,14.0,69.55,47,0,4.34,LY,1666665101
Perivoli,39.4206,20.0147,64.58,63,11,3.74,GR,1666665309
Sabaudia,41.3003,13.0282,68.47,96,19,8.88,IT,1666665309
Vao,-22.6667,167.4833,72.7,76,94,21.27,NC,1666665130
Vytegra,61.0064,36.4481,35.91,86,100,4.23,RU,1666665310
Dunedin,-45.8742,170.5036,56.8,63,0,1.99,NZ,1666665152
Beloye,48.4952,39.0505,44.47,82,93,4.54,UA,1666665311
Wanning,18.8003,110.3967,77.77,88,49,14.5,CN,1666664771
Neuquén,-38.9516,-68.0591,66.09,34,0,0.0,AR,1666665120
Bolu Province,40.6667,31.5833,46.87,75,0,3.36,TR,1666665311
Dingle,10.9995,122.6711,86.83,68,100,7.2,PH,1666665312
Kysyl-Syr,63.8986,122.7617,27.19,81,100,15.14,RU,1666665313
Sungai Penuh,-2.0833,101.3833,72.32,81,100,3.15,ID,1666665313
Mindelo,16.8901,-24.9804,74.75,78,20,4.61,CV,1666665314
Kotelnikowo,47.6317,43.1461,48.25,76,81,10.98,RU,1666665314
Smoky Lake,54.1169,-112.4686,32.72,93,97,2.3,CA,1666665315
Myanaung,18.2833,95.3167,81.34,82,60,10.25,MM,1666665315
Provideniya,64.3833,-173.3,24.91,63,18,2.24,RU,1666665028
Katsuura,35.1333,140.3,57.22,74,100,23.47,JP,1666665316
Buchanan,5.8808,-10.0467,75.94,90,94,1.77,LR,1666664801
Kawalu,-7.3817,108.2082,81.0,75,100,3.58,ID,1666665316
Lázaro Cárdenas,17.9583,-102.2,79.63,86,96,4.45,MX,1666665317
Maragogi,-9.0122,-35.2225,75.85,82,13,9.01,BR,1666665317
Hamilton,39.1834,-84.5333,68.76,50,100,8.05,US,1666665041
Bandarbeyla,9.4942,50.8122,76.64,82,49,7.4,SO,1666665318
Harper,4.375,-7.7169,76.62,91,39,7.67,LR,1666665319
Rudnichnyy,59.617,52.4703,29.59,92,89,5.68,RU,1666665319
Chapais,49.7834,-74.8492,47.98,79,60,7.31,CA,1666665167
Komsomol'skoye,55.2567,47.5461,35.64,69,87,11.81,RU,1666665320
Sisimiut,66.9395,-53.6735,30.61,94,100,21.27,GL,1666665320
Khovd,48.0056,91.6419,28.71,47,0,1.66,MN,1666665322
Świnoujście,53.9105,14.2471,54.34,88,13,12.88,PL,1666665322
Lodja,-3.4833,23.4333,68.83,99,100,2.46,CD,1666665323
Chui,-33.6971,-53.4616,54.97,94,1,5.61,UY,1666665323
Puerto Escondido,15.85,-97.0667,83.23,65,75,5.75,MX,1666664595
Domoni,-12.2569,44.5319,75.79,84,65,7.85,KM,1666665324
Kavieng,-2.5744,150.7967,84.85,67,92,3.74,PG,1666665144
Wenling,28.3669,121.36,68.05,51,81,14.58,CN,1666665324
Albanel,48.8832,-72.4487,46.54,93,0,3.44,CA,1666665325
Turukhansk,65.8167,87.9833,28.76,95,100,10.6,RU,1666664729
Dolores,-36.3132,-57.6792,56.23,96,1,8.72,AR,1666665162
Shimoda,34.6667,138.95,57.56,82,100,19.15,JP,1666665326
Mogok,22.9167,96.5,63.41,99,100,3.0,MM,1666664821
Haines Junction,60.7522,-137.5108,26.55,68,100,6.91,CA,1666665326
Luleå,65.5842,22.1547,30.27,93,100,2.3,SE,1666665327
Beloretsk,53.9631,58.3981,33.78,98,100,5.91,RU,1666665327
Ozinki,51.1786,49.6769,44.89,92,100,12.39,RU,1666665328
Marawi,7.9986,124.2928,76.37,82,85,3.13,PH,1666665328
Lagoa,39.05,-27.9833,64.54,74,61,30.6,PT,1666665329
Charlestown,-32.95,151.6667,81.5,61,65,4.0,AU,1666665329
Byron Bay,-28.65,153.6167,85.71,61,57,14.94,AU,1666665329
Kruisfontein,-34.0033,24.7314,65.88,94,93,7.99,ZA,1666665100
Plouzané,48.3833,-4.6167,57.38,97,100,10.36,FR,1666665330
Sakakah,29.9697,40.2064,67.57,45,100,10.42,SA,1666665263
Pacific Grove,36.6177,-121.9166,60.48,75,0,1.01,US,1666664641
Revda,56.801,59.9303,33.03,89,100,8.93,RU,1666665331
Saint George,37.1041,-113.5841,54.19,37,0,8.05,US,1666665332
Nizhnyaya Tavda,57.6731,66.1725,36.09,96,100,14.88,RU,1666665332
Garissa,-0.4536,39.6401,73.69,88,35,9.22,KE,1666665333
Sarkand,45.41,79.9186,44.71,52,90,0.51,KZ,1666665333
Agde,43.3108,3.4758,62.94,87,0,8.05,FR,1666665334
Kasongo-Lunda,-6.4667,16.8167,69.3,97,100,1.1,CD,1666665158
Robertsonpet,12.9667,78.2833,69.98,62,30,4.21,IN,1666665334
Tibacuy,4.3511,-72.4564,72.59,88,100,4.0,CO,1666665335
Sampit,-2.5333,112.95,78.31,93,100,2.57,ID,1666665335
Ribeira Brava,32.65,-17.0667,73.0,92,100,4.29,PT,1666665336
Paphos,34.7667,32.4167,64.18,48,20,10.36,CY,1666665336
Barra,-11.0894,-43.1417,75.29,79,83,7.2,BR,1666665336
Erenhot,43.6475,111.9767,59.34,24,46,14.32,CN,1666665337
Birnin Kebbi,12.4539,4.1975,80.56,47,76,7.52,NG,1666665337
Majene,-3.5403,118.9707,86.31,66,59,4.97,ID,1666665338
Tessalit,20.1986,1.0114,72.79,21,81,10.47,ML,1666665338
Yulara,-25.2406,130.9889,83.98,34,73,10.6,AU,1666665338
Puerto Quijarro,-17.7833,-57.7667,77.83,57,10,1.41,BO,1666665339
Kaka,37.3482,59.6143,62.1,57,73,4.0,TM,1666665339
Karpathos,35.507,27.2132,66.16,88,0,10.36,GR,1666665340
Abu Dhabi,24.4667,54.3667,78.82,73,0,2.3,AE,1666665340
Toro,4.6117,-76.0814,70.48,96,99,1.68,CO,1666665341
Roald,62.5833,6.1333,49.33,93,100,3.44,NO,1666665341
Makakilo City,21.3469,-158.0858,82.72,63,40,17.27,US,1666664537
Nacala,-14.5428,40.6728,72.5,88,24,7.74,MZ,1666665342
At-Bashi,41.1702,75.8106,39.97,84,93,1.3,KG,1666665342
Nador,35.174,-2.9287,66.45,68,0,2.3,MA,1666665145
Klaksvík,62.2266,-6.589,50.92,98,100,23.31,FO,1666665343
Carrickmacross,53.9728,-6.7189,49.68,92,99,5.75,IE,1666665343
Wanaka,-44.7,169.15,57.11,52,0,1.99,NZ,1666665171
Province of Mantua,45.1667,10.7833,65.44,89,99,3.0,IT,1666665343
Mount Gambier,-37.8333,140.7667,64.31,88,100,5.75,AU,1666665112
Waingapu,-9.6567,120.2641,86.72,64,100,7.52,ID,1666665344
Rizhao,35.4275,119.4553,63.79,53,4,11.23,CN,1666665344
Letychiv,49.3826,27.6305,51.94,72,100,2.75,UA,1666665345
Camacha,33.0833,-16.3333,65.62,94,20,10.36,PT,1666665345
Blagoyevo,63.3667,47.9167,27.25,91,26,6.51,RU,1666665345
Havelock,34.8791,-76.9013,62.58,92,100,3.44,US,1666665346
Lakatoro,-16.0999,167.4164,81.1,74,27,2.82,VU,1666665346
Urussu,54.5981,53.4631,34.99,82,100,9.55,RU,1666665347
Ust-Maya,60.4167,134.5333,29.8,79,99,9.91,RU,1666665347
Motygino,58.1831,94.7592,31.24,73,100,12.91,RU,1666665347
Jalu,29.0331,21.5482,64.53,70,0,8.16,LY,1666665348
Beloha,-25.1667,45.05,66.74,92,70,4.29,MG,1666665348
Sibu,2.3,111.8167,84.51,74,40,5.75,MY,1666665269
Bismil,37.8486,40.6658,47.93,41,0,3.15,TR,1666665349
Coquimbo,-29.9533,-71.3436,55.13,87,100,6.91,CL,1666665079
Kibakwe,-6.7167,36.3667,61.92,93,36,5.1,TZ,1666665349
Hanstholm,57.1167,8.6167,54.57,90,100,22.59,DK,1666665350
Koupéla,12.1794,-0.3517,80.08,33,16,4.23,BF,1666665350
Dwārka,22.2394,68.9678,81.79,63,0,8.66,IN,1666665350
Rocha,-34.4833,-54.3333,52.03,96,2,6.31,UY,1666665351
Burnie,-41.0667,145.9167,61.95,84,100,19.17,AU,1666665351
Miyako,39.6367,141.9525,51.89,72,100,13.94,JP,1666665352
Kamenka,51.3223,42.7678,41.32,79,99,9.55,RU,1666665352
Atakpamé,7.5333,1.1333,72.64,92,97,1.77,TG,1666665352
Whitehorse,60.7161,-135.0538,26.02,91,100,5.75,CA,1666665202
San Ramon,37.7799,-121.978,65.39,43,0,8.05,US,1666665062
Edd,13.9297,41.6925,83.84,64,0,7.02,ER,1666665353
Cañete,-37.8,-73.4,48.38,97,99,2.48,CL,1666665354
Ondjiva,-17.0667,15.7333,77.05,43,94,9.82,AO,1666665233
Dicabisagan,17.0818,122.4157,78.71,87,100,14.94,PH,1666665354
Ryki,51.6257,21.9327,54.05,45,100,1.14,PL,1666665354
Bathsheba,13.2167,-59.5167,81.21,89,20,6.91,BB,1666665355
Portland,45.5234,-122.6762,52.61,92,20,1.99,US,1666665084
Martapura,-3.4167,114.85,78.89,89,40,3.44,ID,1666665355
Bredy,52.4153,60.3411,34.43,82,100,11.01,RU,1666665356
Puerto del Rosario,28.5004,-13.8627,71.35,88,75,5.75,ES,1666665356
Abu Kamal,34.4506,40.9171,66.25,30,0,5.32,SY,1666665357
Severo-Yeniseyskiy,60.3725,93.0408,26.67,82,100,14.23,RU,1666665357
Tautira,-17.7333,-149.15,78.46,82,100,21.52,PF,1666664769
Calella,41.618,2.6678,71.94,63,99,6.49,ES,1666665358
Motala,58.5371,15.0365,53.37,93,100,10.47,SE,1666665358
Hambantota,6.1241,81.1185,80.94,89,20,3.44,LK,1666665358
Marsh Harbour,26.5412,-77.0636,78.15,71,99,15.28,BS,1666665337
Ati,13.2154,18.3353,83.12,21,15,14.65,TD,1666665359
Nipawin,53.3668,-104.0009,30.24,93,100,13.8,CA,1666665359
Torrelavega,43.3494,-4.0479,69.8,55,100,8.99,ES,1666665360
Bac Lieu,9.285,105.7244,84.42,70,100,4.9,VN,1666665360
Griffith,41.5284,-87.4237,71.89,53,0,17.27,US,1666665360
San Patricio,28.017,-97.5169,80.83,84,10,18.3,US,1666665361
Ko Samui,9.5357,99.9357,85.91,74,20,8.05,TH,1666665147
Artyom,40.4723,50.333,60.94,67,4,24.34,AZ,1666665361
Trelew,-43.249,-65.3051,65.12,34,71,5.5,AR,1666665362
Novobirilyussy,56.9514,90.6661,32.74,65,67,12.97,RU,1666665362
Lavrentiya,65.5833,-171.0,24.64,69,6,0.94,RU,1666665363
Mongoumba,3.6415,18.5936,70.88,96,100,2.33,CF,1666665363
Talnakh,69.4865,88.3972,24.21,96,100,6.64,RU,1666665196
Honiara,-9.4333,159.95,84.67,76,40,5.39,SB,1666665364
Oussouye,12.485,-16.5469,76.46,85,99,4.38,SN,1666665365
Borzya,50.3833,116.5167,41.22,54,100,18.12,RU,1666665365
Itacoatiara,-3.1431,-58.4442,79.27,73,20,1.3,BR,1666664817
Nha Trang,12.25,109.1833,84.2,76,96,4.7,VN,1666665366
Angoche,-16.2325,39.9086,70.75,92,1,9.37,MZ,1666665366
Kuraymah,18.55,31.85,68.88,27,12,13.96,SD,1666665367
Acapulco de Juárez,16.8634,-99.8901,82.22,83,40,6.91,MX,1666665217
Arrecife,28.963,-13.5477,69.78,88,0,5.75,ES,1666665367
Cairo,30.0626,31.2497,68.76,73,40,3.44,EG,1666665305
Mórrope,-6.5417,-80.0111,62.76,82,65,11.54,PE,1666665368
Half Moon Bay,37.4636,-122.4286,65.97,52,0,14.97,US,1666665368
Ierapetra,35.01,25.7353,68.14,47,0,10.0,GR,1666665369
Madison,34.7334,-86.5667,66.33,57,89,11.01,US,1666664638
Antalaha,-14.9003,50.2788,68.38,80,29,4.63,MG,1666665369
Plettenberg Bay,-34.0527,23.3716,62.98,90,87,5.48,ZA,1666664793
Caçapava do Sul,-30.5122,-53.4914,51.12,98,6,3.85,BR,1666665370
Labuan,5.2767,115.2417,84.56,74,20,3.44,MY,1666665371
Moryakovskiy Zaton,56.6956,84.6467,31.08,65,88,11.88,RU,1666665371
Tocopilla,-22.092,-70.1979,60.22,70,10,0.96,CL,1666665373
George Town,5.4112,100.3354,84.15,83,20,3.44,MY,1666665254
Ugoofaaru,5.6667,73.0,81.55,81,81,12.71,MV,1666665374
Río Gallegos,-51.6226,-69.2181,41.05,60,0,27.63,AR,1666665104
Noyabrsk,63.1994,75.4507,29.46,96,100,20.71,RU,1666665132
Tadine,-21.55,167.8833,75.85,71,98,19.3,NC,1666665375
Shima,24.4478,117.8111,75.22,40,93,11.52,CN,1666665376
Ushtobe,45.2514,77.9838,42.12,49,100,0.38,KZ,1666665376
North Bend,43.4065,-124.2243,55.92,97,100,6.91,US,1666664807
Eyl,7.9803,49.8164,78.13,83,47,2.86,SO,1666665128
Broken Hill,-31.95,141.4333,70.66,46,30,13.82,AU,1666665377
Żagań,51.6176,15.3149,57.49,86,3,8.97,PL,1666665377
Port-Gentil,-0.7193,8.7815,76.08,90,100,14.2,GA,1666665378
Mehamn,71.0357,27.8492,35.55,87,75,11.5,NO,1666665378
Sorong,-0.8833,131.25,86.0,67,100,7.31,ID,1666665379
Tual,-5.6667,132.75,83.57,73,91,5.55,ID,1666665379
Joshīmath,30.5667,79.5667,62.13,30,0,1.3,IN,1666665380
Wenzhou,27.9994,120.6668,70.84,39,98,5.77,CN,1666665380
Padang,-0.9492,100.3543,75.25,77,100,2.8,ID,1666665271
Bouguenais,47.1776,-1.6214,59.88,93,20,4.61,FR,1666665381
Yüksekova,37.5736,44.2872,29.95,100,0,0.0,TR,1666665381
Yeniseysk,58.4497,92.1703,32.22,70,100,11.1,RU,1666665364
Honningsvåg,70.9821,25.9704,37.15,75,100,14.97,NO,1666665382
Zhalantun,48.0,122.7167,47.88,34,10,11.5,CN,1666665383
Te Anau,-45.4167,167.7167,59.83,33,1,1.86,NZ,1666665383
Saint-Joseph,-21.3667,55.6167,68.38,79,19,2.91,RE,1666665192
Menongue,-14.6585,17.691,64.8,78,68,4.52,AO,1666665384
Barranca,-10.75,-77.7667,60.3,89,79,7.94,PE,1666665229
San Andrés,12.5847,-81.7006,78.82,94,75,2.3,CO,1666665385
Ruteng,-8.6136,120.4721,77.41,57,46,0.18,ID,1666665385
Novy Urengoy,66.0833,76.6333,26.73,97,100,1.9,RU,1666665386
Tilichiki,60.4667,166.1,19.2,78,100,7.27,RU,1666665386
Shenzhen,22.5455,114.0683,78.75,46,100,13.18,CN,1666665203
Richards Bay,-28.783,32.0377,68.61,96,54,8.1,ZA,1666665387
Umluj,25.0213,37.2685,76.86,57,0,9.75,SA,1666665387
Bhīmunipatnam,17.8833,83.4333,78.31,66,32,3.49,IN,1666665388
Vostok,46.4856,135.8833,40.66,37,0,6.33,RU,1666665388
Abu Samrah,35.3029,37.1841,64.02,51,0,4.83,SY,1666665389
Svetlaya,46.5389,138.3297,48.09,33,0,2.93,RU,1666665389
Ekhabi,53.5102,142.9671,40.41,58,21,14.7,RU,1666665390
Yerbogachën,61.2767,108.0108,29.41,83,100,13.94,RU,1666665390
Inuvik,68.3499,-133.7218,9.46,92,20,4.61,CA,1666665391
Takoradze,4.8845,-1.7554,77.07,88,97,4.14,GH,1666665202
San Rafael,-34.6177,-68.3301,68.95,45,36,5.48,AR,1666665392
Imeni Poliny Osipenko,52.4201,136.4853,40.48,41,61,8.1,RU,1666665392
Yakima,46.4665,-120.6678,53.53,58,0,21.85,US,1666665393
Beringovskiy,63.05,179.3167,30.11,82,100,7.31,RU,1666665393
Arrondissement d'Arcachon,44.5875,-1.0519,53.92,87,0,0.0,FR,1666665393
Touros,-5.1989,-35.4608,77.79,80,3,14.07,BR,1666665394
